relationships,age_last_milestone_year,milestones,Top500,age,relation10,age_first_milestone_year,Has_roundABCD,funding_rounds,has_roundB,milesto_4,million
5,7.6247,3,1,8.0,0,2.4301,0,2,0,1,0.0
1,7.9178,2,1,12.0,0,0.0,0,2,0,1,0.0
5,0.0,0,1,9.0,0,0.0,1,2,1,0,0.0
10,5.3151,3,1,8.0,0,2.4164,0,2,0,1,0.0
11,4.4247,3,1,8.0,1,3.0027,1,2,1,1,0.0
3,7.7534,1,1,12.0,0,7.7534,0,2,1,1,0.0
8,4.0027,1,1,11.0,0,4.0027,0,2,1,1,0.0
7,4.0027,1,1,12.0,0,4.0027,1,4,1,1,0.0
4,8.4219,1,1,10.0,0,8.4219,0,3,1,1,0.0
1,2.4658,2,1,3.0,0,1.6685,0,1,0,1,0.0
3,0.0,0,1,12.0,0,0.0,0,1,0,0,0.0
5,6.3096,3,1,7.0,0,0.9151,0,1,0,1,0.0
2,1.863,2,1,4.1,0,0.0,0,1,0,1,0.0
7,8.1699,1,1,14.0,0,8.1699,0,6,0,1,0.0
10,7.0027,1,1,13.0,0,7.0027,0,2,0,1,0.0
2,6.0027,1,1,10.35,0,6.0027,0,1,0,1,0.0
9,3.9151,2,1,3.81,0,1.1671,0,1,0,1,0.0
6,4.6493,2,1,6.0,0,3.0027,0,1,0,1,0.0
13,5.7671,4,1,5.42,1,4.2521,1,4,1,0,0.0
35,13.5863,5,1,14.0,1,11.589,1,4,1,0,1.0
11,7.8822,2,1,11.25,1,5.2548,0,1,0,1,0.0
15,2.3397,1,1,3.5,1,2.3397,0,2,0,1,0.0
3,0.0,0,1,3.96,0,0.0,0,1,0,0,0.0
1,0.0,0,1,6.5,0,0.0,0,1,0,0,0.0
5,1.411,2,1,0.75,0,0.0,0,1,0,1,0.0
3,0.0,0,1,6.27,0,0.0,0,3,0,0,0.0
12,6.0027,1,0,8.58,1,6.0027,0,1,0,1,0.0
1,0.0,1,1,2.0,0,0.0,0,1,0,1,0.0
2,0.7479,1,0,3.5,0,0.7479,0,2,0,1,0.0
3,0.5863,1,0,3.25,0,0.5863,0,1,0,1,0.0
57,9.1534,8,1,9.22,1,5.2466,1,4,1,0,0.0
2,4.0027,1,1,8.09,0,4.0027,1,2,1,1,0.0
18,7.1370000000000005,5,1,7.84,1,3.8411,1,7,1,0,0.0
14,2.6959,2,1,4.0,1,2.6466,0,2,0,1,0.0
3,4.1562,2,1,4.84,0,2.3726,0,1,0,1,0.0
6,3.5425,2,1,5.72,0,2.7260000000000004,0,2,0,1,0.0
25,7.3616,3,1,10.0,1,5.6055,1,3,1,1,0.0
5,9.874,3,0,12.0,0,8.0055,0,2,0,1,1.0
12,1.6329,3,1,5.0,1,0.4137,0,1,0,1,0.0
25,10.2247,4,1,12.0,1,8.7425,0,1,0,0,0.0
17,6.863,2,1,8.16,1,2.989,0,1,0,1,0.0
0,0.0,0,0,6.57,0,0.0,0,1,0,0,0.0
4,3.0,1,1,5.0,0,3.0,1,3,1,1,0.0
7,6.0904,2,0,7.0,0,4.8521,0,2,0,1,0.0
29,12.6822,3,1,13.08,1,10.9836,0,7,0,1,1.0
3,0.5836,1,0,2.89,0,0.5836,0,1,0,1,0.0
2,3.5699,2,0,5.09,0,1.1644,0,1,0,1,0.0
9,5.0027,1,1,8.0,0,5.0027,0,2,1,1,0.0
